"","combinedPval","adjustedPval"
"sim_g050",0.1443020969525,1
"sim_g056",0.825723192159487,1
"sim_g059",0.296262885668162,1
"sim_g067",0.191025586738579,1
"sim_g070",0.700343001819109,1
"sim_g071",0.992152771832124,1
"sim_g072",0.157232431964528,1
"sim_g074",0.434740234117465,1
"sim_g079",0.57114436103472,1
"sim_g080",0.976546491298893,1
"sim_g085",0.876973386426023,1
"sim_g086",0.929790475802414,1
"sim_g105",0.752744696154393,1
"sim_g107",0.964207134848716,1
"sim_g115",0.445829908902629,1
"sim_g126",0.176424761602426,1
"sim_g129",0.29536099949692,1
"sim_g148",0.88342912037717,1
"sim_g150",0.85879197110285,1
"sim_g152",0.489640421330364,1
"sim_g153",0.633836720462961,1
"sim_g154",0.265759889490267,1
"sim_g155",0.350702918524407,1
"sim_g156",0.93567107234791,1
"sim_g157",0.637854903671003,1
"sim_g158",0.205613375130064,1
"sim_g159",0.29268969833948,1
"sim_g161",0.532179542207261,1
"sim_g162",0.200270480300789,1
"sim_g163",0.371587306256995,1
"sim_g164",0.103912748063004,1
"sim_g165",0.26307716879805,1
"sim_g166",0.225343482992248,1
"sim_g167",0.116614506766332,1
"sim_g168",0.373232404916904,1
"sim_g169",0.998984804387857,1
"sim_g170",0.809042827664895,1
"sim_g171",0.261385671483053,1
"sim_g172",0.582701228023047,1
"sim_g173",0.905177987863221,1
"sim_g174",0.835709769725287,1
"sim_g175",0.867321886910072,1
"sim_g176",0.675334725810706,1
"sim_g177",0.769216253165349,1
"sim_g178",0.622723961966286,1
"sim_g179",0.905579756994862,1
"sim_g180",0.703358794726856,1
"sim_g181",0.87359469815905,1
"sim_g182",0.267803252514937,1
"sim_g183",0.42482277621977,1
"sim_g184",0.194715424149289,1
"sim_g185",0.542766328167893,1
"sim_g186",0.865867966895345,1
"sim_g187",0.284289588911037,1
"sim_g188",0.958054724848745,1
"sim_g189",0.990689283485911,1
"sim_g190",0.230301250504065,1
"sim_g191",0.478469492955015,1
"sim_g192",0.94372334602272,1
"sim_g193",0.285235570069191,1
"sim_g194",0.194641475283918,1
"sim_g195",0.0801859871435504,1
"sim_g196",0.284740698063348,1
"sim_g197",0.952422588136664,1
"sim_g198",0.920257428558536,1
"sim_g199",0.231011913233356,1
"sim_g200",0.317010396487633,1
"sim_g201",0.342175955698083,1
"sim_g202",0.557415750773709,1
"sim_g203",0.96140251209583,1
"sim_g204",0.787537244728595,1
"sim_g205",0.765272700828641,1
"sim_g206",0.677902677261451,1
"sim_g207",0.691299469076898,1
"sim_g208",0.57616781349544,1
"sim_g209",0.360601296027767,1
"sim_g211",0.320286411370273,1
"sim_g212",0.92508456494667,1
"sim_g213",0.42468347233238,1
"sim_g214",0.451916424387108,1
"sim_g215",0.446896934461755,1
"sim_g216",0.201188334936269,1
"sim_g217",0.102625372493001,1
"sim_g218",0.820974788511184,1
"sim_g220",0.1377967084642,1
"sim_g221",0.338626968349351,1
"sim_g222",0.249216602514731,1
"sim_g223",0.951394552691861,1
"sim_g224",0.456175799720382,1
"sim_g225",0.350340766419026,1
"sim_g226",0.0854937863892031,1
"sim_g227",0.956174732836234,1
"sim_g228",0.799077998231355,1
"sim_g229",0.103206457820876,1
"sim_g230",0.81137624531415,1
"sim_g232",0.703572037091116,1
"sim_g233",0.186433795705287,1
"sim_g235",0.621054661157206,1
"sim_g237",0.168213865278808,1
"sim_g238",0.26540218432057,1
"sim_g239",0.146671610022961,1
"sim_g240",0.334120151835989,1
"sim_g241",0.301960597634876,1
"sim_g242",0.534577655047229,1
"sim_g243",0.927827944222106,1
"sim_g245",0.560558944491558,1
"sim_g246",0.758551576823498,1
"sim_g247",0.576064463044405,1
"sim_g249",0.196317481463437,1
"sim_g251",0.162197957378924,1
"sim_g252",0.323055717768896,1
"sim_g254",0.104091452839298,1
"sim_g255",0.963871490011193,1
"sim_g256",0.982458578461247,1
"sim_g257",0.723081953131602,1
"sim_g258",0.252898512873783,1
"sim_g259",0.313736100064637,1
"sim_g261",0.923529223144696,1
"sim_g262",0.627967438862542,1
"sim_g263",0.890224529665069,1
"sim_g265",0.256880024608777,1
"sim_g267",0.319358038951867,1
"sim_g268",0.646835316613395,1
"sim_g269",0.338245165053775,1
"sim_g270",0.418541444996769,1
"sim_g271",0.780661698736246,1
"sim_g272",0.238821646656726,1
"sim_g273",0.969828785787362,1
"sim_g274",0.692356940952907,1
"sim_g275",0.194876337930399,1
"sim_g276",0.269044841870599,1
"sim_g278",0.204813677046979,1
"sim_g279",0.462478979430126,1
"sim_g280",0.103426845164042,1
"sim_g281",0.322771223059853,1
"sim_g282",0.147670072956988,1
"sim_g283",0.450099632168325,1
"sim_g285",0.929040272226494,1
"sim_g286",0.722793460684972,1
"sim_g287",0.58278946695104,1
"sim_g288",0.182275830789664,1
"sim_g289",0.32319407072816,1
"sim_g290",0.162705389520257,1
"sim_g291",0.130408698559354,1
"sim_g292",0.779736058717245,1
"sim_g293",0.8924965853337,1
"sim_g294",0.813841825111745,1
"sim_g295",0.237565847955239,1
"sim_g296",0.573747466437928,1
"sim_g297",0.848498614313985,1
"sim_g298",0.739440841173846,1
"sim_g299",0.709925428807113,1
